q1_completions,prior_before_q1,ever_completions,tutored,multi_interest,enroll_date,module12_date,exposure_end,exposure_days_q1,offset_log_days
6,0,6,0,0,2/7/2025 17:31,,59:59.0,144,4.9698133
0,0,0,0,1,4/30/2025 16:35,,59:59.0,62,4.127134385
0,0,0,0,1,11/27/2024 19:06,,59:59.0,181,5.198497031
2,0,2,0,1,12/19/2024 16:40,,59:59.0,181,5.198497031
0,1,10,0,1,10/16/2024 16:20,,59:59.0,181,5.198497031
2,0,2,0,1,1/22/2025 16:37,,59:59.0,160,5.075173815
0,0,0,0,0,10/2/2024 16:30,,59:59.0,181,5.198497031
0,0,0,0,1,3/19/2025 16:37,,59:59.0,104,4.644390899
6,0,6,1,0,2/5/2025 16:19,,59:59.0,146,4.983606622
0,0,0,0,0,3/5/2025 16:32,,59:59.0,118,4.770684624
2,0,2,0,0,2/28/2025 17:31,,59:59.0,123,4.812184355
2,0,2,0,1,2/21/2025 17:31,,59:59.0,130,4.86753445
1,0,1,0,0,5/2/2025 14:35,,59:59.0,60,4.094344562
1,0,1,0,1,2/3/2025 18:08,,59:59.0,148,4.997212274
3,1,5,1,0,12/4/2024 16:39,,59:59.0,181,5.198497031
0,0,0,1,0,2/5/2025 16:31,,59:59.0,146,4.983606622
1,0,1,0,1,2/28/2025 14:21,,59:59.0,123,4.812184355
3,0,3,0,1,3/14/2025 14:28,,59:59.0,109,4.691347882
0,0,0,1,0,1/29/2025 16:44,,59:59.0,153,5.030437921
0,0,0,0,0,4/18/2025 17:36,,59:59.0,74,4.304065093
0,0,0,0,0,1/31/2025 17:33,,59:59.0,151,5.017279837
1,0,1,0,1,2/12/2025 16:32,,59:59.0,139,4.934473933
0,0,0,0,1,10/2/2024 16:37,,59:59.0,181,5.198497031
1,0,1,0,0,2/28/2025 14:49,,59:59.0,123,4.812184355
0,0,0,1,0,4/25/2025 14:34,,59:59.0,67,4.204692619
3,0,3,0,0,3/19/2025 16:29,,59:59.0,104,4.644390899
0,1,7,0,0,10/24/2024 16:39,,59:59.0,181,5.198497031
4,0,4,0,0,3/14/2025 18:59,,59:59.0,109,4.691347882
1,0,1,0,1,5/14/2025 16:30,,59:59.0,48,3.871201011
1,0,1,0,0,1/22/2025 16:39,,59:59.0,160,5.075173815
0,0,0,0,1,1/8/2025 16:29,,59:59.0,174,5.159055299
3,0,3,1,0,5/13/2025 16:36,,59:59.0,49,3.891820298
0,0,0,0,1,4/9/2025 16:28,,59:59.0,83,4.418840608
